ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_38,5,O_9,2023-05-02 02:11,0,1630.56,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_13,1,O_9,2023-05-01 00:00,0,Null,Null,Null
20230501B467071_001,VEH_13,2,D_109,2023-05-01 02:34,625.79,840,2023-05-01 14:00,Yes
,VEH_13,3,O_9,2023-05-01 16:34,0,1053.98,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_19,1,O_9,2023-05-01 00:00,0,Null,Null,Null
20230501B467772_001,VEH_19,2,D_109,2023-05-01 02:34,625.79,840,2023-05-01 14:00,Yes
,VEH_19,3,O_9,2023-05-01 16:34,0,1053.98,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_5,1,O_9,2023-05-01 00:00,0,Null,Null,Null
20230501B467784_001,VEH_5,2,D_108,2023-05-01 03:57,842.92,1140,2023-05-01 19:00,Yes
,VEH_5,3,O_9,2023-05-01 23:00,0,1440.06,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_8,1,O_9,2023-05-01 00:00,0,Null,Null,Null
M18386900,VEH_8,2,D_293,2023-05-01 01:16,1004.18,1140,2023-05-01 19:00,Yes
,VEH_8,3,O_9,2023-05-01 20:16,0,1276.08,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_40,1,O_9,2023-05-01 00:00,0,Null,Null,Null
M18385283,VEH_40,2,D_283,2023-05-01 01:16,1004.19,1140,2023-05-01 19:00,Yes
MF2304276175993,VEH_40,3,D_1180,2023-05-01 20:09,1010.75,2280,2023-05-02 14:00,Yes
,VEH_40,4,O_9,2023-05-02 14:18,0,2357.68,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_24,1,O_9,2023-05-01 00:00,0,Null,Null,Null
M18385275,VEH_24,2,D_282,2023-05-01 01:19,1001.34,1140,2023-05-01 19:00,Yes
,VEH_24,3,O_9,2023-05-01 20:19,0,1278.71,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_16,1,O_11,2023-05-01 00:00,0,Null,Null,Null
20230501B468139_001,VEH_16,2,D_1,2023-05-01 01:40,979.7,1140,2023-05-01 19:00,Yes
,VEH_16,3,O_11,2023-05-01 20:52,0,1312.35,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_47,1,O_11,2023-05-01 00:00,0,Null,Null,Null
20230501B468199_001,VEH_47,2,D_108,2023-05-01 00:58,721.59,840,2023-05-01 14:00,Yes
20230501B467460_001,VEH_47,3,D_108,2023-05-01 14:00,0,900.0,2023-05-01 15:00,Yes
,VEH_47,4,O_11,2023-05-01 15:55,0,1014.88,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_25,1,O_11,2023-05-01 00:00,0,Null,Null,Null
20230501B467468_001,VEH_25,2,D_1,2023-05-01 01:40,979.7,1140,2023-05-01 19:00,Yes
,VEH_25,3,O_11,2023-05-01 20:52,0,1312.35,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_12,1,O_11,2023-05-01 00:00,0,Null,Null,Null
20230501B468191_001,VEH_12,2,D_108,2023-05-01 00:58,721.59,840,2023-05-01 14:00,Yes
20230501B467151_001,VEH_12,3,D_108,2023-05-01 14:00,0,900.0,2023-05-01 15:00,Yes
,VEH_12,4,O_11,2023-05-01 15:55,0,1014.88,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_2,1,O_11,2023-05-01 00:00,0,Null,Null,Null
M18385405,VEH_2,2,D_298,2023-05-01 01:29,691.14,840,2023-05-01 14:00,Yes
20230501B468203_001,VEH_2,3,D_37,2023-05-01 15:45,134.53,1140,2023-05-01 19:00,Yes
,VEH_2,4,O_11,2023-05-01 19:00,0,1200.0,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_7,1,O_11,2023-05-01 00:00,0,Null,Null,Null
20230501B467505_001,VEH_7,2,D_179,2023-05-01 00:32,1047.63,1140,2023-05-01 19:00,Yes
,VEH_7,3,O_11,2023-05-01 19:40,0,1239.58,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_23,1,O_11,2023-05-01 00:00,0,Null,Null,Null
20230501B468284_001,VEH_23,2,D_1,2023-05-01 01:40,979.7,1140,2023-05-01 19:00,Yes
20230501B468187_001,VEH_23,3,D_108,2023-05-01 20:43,977.41,2280,2023-05-02 14:00,Yes
,VEH_23,4,O_11,2023-05-02 14:55,0,2394.88,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_49,1,O_11,2023-05-01 00:00,0,Null,Null,Null
M18385392,VEH_49,2,D_290,2023-05-01 01:24,696.01,840,2023-05-01 14:00,Yes
20230501B468221_001,VEH_49,3,D_108,2023-05-01 15:20,0,979.9,2023-05-01 16:20,Yes
20230501B467093_001,VEH_49,4,D_108,2023-05-01 16:20,0,1039.9,2023-05-01 17:20,Yes
,VEH_49,5,O_11,2023-05-01 18:15,0,1154.79,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_30,1,O_11,2023-05-01 00:00,0,Null,Null,Null
20230501B468135_001,VEH_30,2,D_109,2023-05-01 02:05,654.7,840,2023-05-01 14:00,Yes
20230501B468288_001,VEH_30,3,D_1,2023-05-01 14:42,197.81,1140,2023-05-01 19:00,Yes
,VEH_30,4,O_11,2023-05-01 20:52,0,1312.35,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_8,1,O_11,2023-05-01 00:00,0,Null,Null,Null
N_20230501858775,VEH_8,2,D_179,2023-05-01 00:32,1047.63,1140,2023-05-01 19:00,Yes
,VEH_8,3,O_11,2023-05-01 19:40,0,1239.58,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_31,1,O_11,2023-05-01 00:00,0,Null,Null,Null
20230501B467942_001,VEH_31,2,D_108,2023-05-01 00:58,721.59,840,2023-05-01 14:00,Yes
20230501B464961_001,VEH_31,3,D_1,2023-05-01 15:46,133.99,1140,2023-05-01 19:00,Yes
,VEH_31,4,O_11,2023-05-01 20:52,0,1312.35,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_9,1,O_11,2023-05-01 00:00,0,Null,Null,Null
M18385400,VEH_9,2,D_286,2023-05-01 01:54,666.0,840,2023-05-01 14:00,Yes
,VEH_9,3,O_11,2023-05-01 16:17,0,1036.77,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_29,1,O_11,2023-05-01 00:00,0,Null,Null,Null
20230501B468195_001,VEH_29,2,D_108,2023-05-01 00:58,721.59,840,2023-05-01 14:00,Yes
,VEH_29,3,O_11,2023-05-01 14:55,0,954.88,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_5,1,O_34,2023-05-01 00:00,0,Null,Null,Null
20230501B467736_001,VEH_5,2,D_108,2023-05-01 01:54,666.06,840,2023-05-01 14:00,Yes
,VEH_5,3,O_34,2023-05-01 15:54,0,1014.31,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_11,1,O_45,2023-05-01 00:00,0,Null,Null,Null
MF2305306378255,VEH_11,2,D_1728,2023-05-01 01:53,666.51,840,2023-05-01 14:00,Yes
MF2305306378239,VEH_11,3,D_2568,2023-05-01 15:23,937.16,1920,2023-05-02 08:00,Yes
,VEH_11,4,O_45,2023-05-02 10:13,0,2113.44,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_1,1,O_50,2023-05-01 00:00,0,Null,Null,Null
MF2305116280542,VEH_1,2,D_1748,2023-05-01 00:55,1025.37,1140,2023-05-01 19:00,Yes
,VEH_1,3,O_50,2023-05-01 19:56,0,1255.75,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_15,1,O_50,2023-05-01 00:00,0,Null,Null,Null
MF2305116279518,VEH_15,2,D_1748,2023-05-01 00:55,1025.37,1140,2023-05-01 19:00,Yes
,VEH_15,3,O_50,2023-05-01 19:56,0,1255.75,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_11,1,O_50,2023-05-01 00:00,0,Null,Null,Null
20230501B467797_001,VEH_11,2,D_108,2023-05-01 03:11,229.35,480,2023-05-01 08:00,Yes
20230501B468089_001,VEH_11,3,D_108,2023-05-01 08:00,0,540.0,2023-05-01 09:00,Yes
,VEH_11,4,O_50,2023-05-01 12:10,0,790.11,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_16,1,O_50,2023-05-01 00:00,0,Null,Null,Null
MF2305116280008,VEH_16,2,D_1370,2023-05-01 01:22,698.23,840,2023-05-01 14:00,Yes
MF2305116279511,VEH_16,3,D_1271,2023-05-01 17:16,403.77,1500,2023-05-02 01:00,Yes
,VEH_16,4,O_50,2023-05-02 04:33,0,1772.69,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_6,1,O_50,2023-05-01 00:00,0,Null,Null,Null
MF2305116280560,VEH_6,2,D_1748,2023-05-01 00:55,1025.37,1140,2023-05-01 19:00,Yes
,VEH_6,3,O_50,2023-05-01 19:56,0,1255.75,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_13,1,O_50,2023-05-01 00:00,0,Null,Null,Null
MF2305116280021,VEH_13,2,D_1236,2023-05-01 01:06,714.24,840,2023-05-01 14:00,Yes
,VEH_13,3,O_50,2023-05-01 15:06,0,966.25,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_14,1,O_50,2023-05-01 00:00,0,Null,Null,Null
MF2305116279526,VEH_14,2,D_1524,2023-05-01 00:51,729.14,840,2023-05-01 14:00,Yes
,VEH_14,3,O_50,2023-05-01 15:00,0,960.13,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_2,1,O_50,2023-05-01 00:00,0,Null,Null,Null
20230501B467932_001,VEH_2,2,D_1,2023-05-01 02:09,950.59,1140,2023-05-01 19:00,Yes
,VEH_2,3,O_50,2023-05-01 21:11,0,1330.85,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_20,1,O_50,2023-05-01 00:00,0,Null,Null,Null
MF2305116280014,VEH_20,2,D_1964,2023-05-01 01:02,718.36,840,2023-05-01 14:00,Yes
MF2305116280524,VEH_20,3,D_1748,2023-05-01 14:12,228.05,1140,2023-05-01 19:00,Yes
,VEH_20,4,O_50,2023-05-01 19:56,0,1255.75,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_16,1,O_62,2023-05-01 00:00,0,Null,Null,Null
20230501B468216_001,VEH_16,2,D_184,2023-05-01 00:46,0,105.98,2023-05-01 01:46,Yes
,VEH_16,3,O_62,2023-05-01 02:37,0,217.0,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_22,1,O_62,2023-05-01 00:00,0,Null,Null,Null
M18385505,VEH_22,2,D_352,2023-05-01 02:23,637.21,840,2023-05-01 14:00,Yes
M18385509,VEH_22,3,D_267,2023-05-01 15:59,120.99,1140,2023-05-01 19:00,Yes
M18385537,VEH_22,4,D_359,2023-05-01 20:49,0,1308.97,2023-05-01 21:49,Yes
,VEH_22,5,O_62,2023-05-01 22:34,0,1413.72,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_7,1,O_62,2023-05-01 00:00,0,Null,Null,Null
20230501B468127_001,VEH_7,2,D_109,2023-05-01 02:13,0,193.04,2023-05-01 03:13,Yes
,VEH_7,3,O_62,2023-05-01 05:43,0,402.8,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_21,1,O_62,2023-05-01 00:00,0,Null,Null,Null
20230501B467999_001,VEH_21,2,D_108,2023-05-01 00:50,549.92,660,2023-05-01 11:00,Yes
M18384919,VEH_21,3,D_266,2023-05-01 12:01,59.38,840,2023-05-01 14:00,Yes
,VEH_21,4,O_62,2023-05-01 14:32,0,932.21,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_14,1,O_62,2023-05-01 00:00,0,Null,Null,Null
20230501B468003_001,VEH_14,2,D_108,2023-05-01 00:50,549.92,660,2023-05-01 11:00,Yes
,VEH_14,3,O_62,2023-05-01 11:51,0,770.56,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_13,1,O_62,2023-05-01 00:00,0,Null,Null,Null
20230501B467861_001,VEH_13,2,D_109,2023-05-01 02:13,0,193.04,2023-05-01 03:13,Yes
,VEH_13,3,O_62,2023-05-01 05:43,0,402.8,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_3,1,O_62,2023-05-01 00:00,0,Null,Null,Null
M18384924,VEH_3,2,D_268,2023-05-01 00:28,1052.27,1140,2023-05-01 19:00,Yes
,VEH_3,3,O_62,2023-05-01 19:30,0,1230.31,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_2,1,O_62,2023-05-01 00:00,0,Null,Null,Null
M18386975,VEH_2,2,D_273,2023-05-01 00:41,739.26,840,2023-05-01 14:00,Yes
,VEH_2,3,O_62,2023-05-01 14:43,0,943.49,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_18,1,O_62,2023-05-01 00:00,0,Null,Null,Null
M18385551,VEH_18,2,D_273,2023-05-01 00:41,739.26,840,2023-05-01 14:00,Yes
,VEH_18,3,O_62,2023-05-01 14:43,0,943.49,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_2,1,O_70,2023-05-01 00:00,0,Null,Null,Null
20230501B468035_001,VEH_2,2,D_108,2023-05-01 03:01,598.56,840,2023-05-01 14:00,Yes
,VEH_2,3,O_70,2023-05-01 16:52,0,1071.5,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_0,1,O_123,2023-05-01 00:00,0,Null,Null,Null
20230501B468384_001,VEH_0,2,D_108,2023-05-01 03:03,596.85,840,2023-05-01 14:00,Yes
,VEH_0,3,O_123,2023-05-01 16:57,0,1077.34,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_70,1,O_144,2023-05-01 00:00,0,Null,Null,Null
20230501B468277_001,VEH_70,2,D_109,2023-05-01 00:41,559.25,660,2023-05-01 11:00,Yes
20230501B468102_001,VEH_70,3,D_109,2023-05-01 11:00,0,720.0,2023-05-01 12:00,Yes
,VEH_70,4,O_144,2023-05-01 12:41,0,820.54,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_57,1,O_144,2023-05-01 00:00,0,Null,Null,Null
MF2305016190559,VEH_57,2,D_1211,2023-05-01 01:49,311.34,480,2023-05-01 08:00,Yes
,VEH_57,3,O_144,2023-05-01 09:51,0,651.4,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_34,1,O_144,2023-05-01 00:00,0,Null,Null,Null
MF2305016190059,VEH_34,2,D_90,2023-05-01 03:07,892.55,1140,2023-05-01 19:00,Yes
M18385481,VEH_34,3,D_340,2023-05-01 22:25,0,1404.93,2023-05-01 23:25,Yes
,VEH_34,4,O_144,2023-05-02 01:29,0,1589.38,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_39,1,O_144,2023-05-01 00:00,0,Null,Null,Null
MF2305016190567,VEH_39,2,D_1211,2023-05-01 01:49,311.34,480,2023-05-01 08:00,Yes
,VEH_39,3,O_144,2023-05-01 09:51,0,651.4,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_37,1,O_144,2023-05-01 00:00,0,Null,Null,Null
20230501B467098_004,VEH_37,2,D_1,2023-05-01 00:16,1064.03,1140,2023-05-01 19:00,Yes
,VEH_37,3,O_144,2023-05-01 19:16,0,1216.0,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_67,1,O_144,2023-05-01 00:00,0,Null,Null,Null
M18385441,VEH_67,2,D_316,2023-05-01 02:16,643.7,840,2023-05-01 14:00,Yes
M18385453,VEH_67,3,D_326,2023-05-01 17:48,371.73,1500,2023-05-02 01:00,Yes
,VEH_67,4,O_144,2023-05-02 02:40,0,1659.75,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_65,1,O_144,2023-05-01 00:00,0,Null,Null,Null
20230501B468674_001,VEH_65,2,D_109,2023-05-01 00:41,559.25,660,2023-05-01 11:00,Yes
,VEH_65,3,O_144,2023-05-01 11:41,0,760.54,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_27,1,O_144,2023-05-01 00:00,0,Null,Null,Null
M18385429,VEH_27,2,D_310,2023-05-01 01:44,315.58,480,2023-05-01 08:00,Yes
,VEH_27,3,O_144,2023-05-01 09:45,0,644.96,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_73,1,O_144,2023-05-01 00:00,0,Null,Null,Null
M18385448,VEH_73,2,D_322,2023-05-01 01:58,662.24,840,2023-05-01 14:00,Yes
,VEH_73,3,O_144,2023-05-01 15:50,0,1009.93,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_68,1,O_144,2023-05-01 00:00,0,Null,Null,Null
M18385467,VEH_68,2,D_336,2023-05-01 01:55,964.66,1140,2023-05-01 19:00,Yes
M18385461,VEH_68,3,D_333,2023-05-01 21:39,0,1359.08,2023-05-01 22:39,Yes
M18436677,VEH_68,4,D_1093,2023-05-01 23:41,618.8,2100,2023-05-02 11:00,Yes
M18385436,VEH_68,5,D_313,2023-05-02 12:16,43.55,2280,2023-05-02 14:00,Yes
,VEH_68,6,O_144,2023-05-02 16:22,0,2482.35,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_18,1,O_144,2023-05-01 00:00,0,Null,Null,Null
MF2305036206456,VEH_18,2,D_1474,2023-05-01 01:36,684.44,840,2023-05-01 14:00,Yes
MF2305036206448,VEH_18,3,D_1473,2023-05-01 14:31,0,930.54,2023-05-01 15:31,Yes
,VEH_18,4,O_144,2023-05-01 17:15,0,1095.35,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_15,1,O_174,2023-05-01 00:00,0,Null,Null,Null
20230501B468119_001,VEH_15,2,D_108,2023-05-01 00:31,749.0,840,2023-05-01 14:00,Yes
20230501B468316_001,VEH_15,3,D_108,2023-05-01 14:00,0,900.0,2023-05-01 15:00,Yes
,VEH_15,4,O_174,2023-05-01 15:27,0,987.22,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_18,1,O_174,2023-05-01 00:00,0,Null,Null,Null
20230501B468123_001,VEH_18,2,D_1,2023-05-01 01:47,972.75,1140,2023-05-01 19:00,Yes
20230501B468388_001,VEH_18,3,D_109,2023-05-01 19:41,1039.11,2280,2023-05-02 14:00,Yes
,VEH_18,4,O_174,2023-05-02 16:17,0,2477.01,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_16,1,O_174,2023-05-01 00:00,0,Null,Null,Null
20230501B468321_001,VEH_16,2,D_108,2023-05-01 00:31,749.0,840,2023-05-01 14:00,Yes
,VEH_16,3,O_174,2023-05-01 14:27,0,927.22,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_10,1,O_174,2023-05-01 00:00,0,Null,Null,Null
20230501B468115_001,VEH_10,2,D_108,2023-05-01 00:31,749.0,840,2023-05-01 14:00,Yes
,VEH_10,3,O_174,2023-05-01 14:27,0,927.22,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_10,1,O_179,2023-05-01 00:00,0,Null,Null,Null
MF2305056258355,VEH_10,2,D_1595,2023-05-01 02:16,644.27,840,2023-05-01 14:00,Yes
20230501B467821_001,VEH_10,3,D_108,2023-05-01 15:38,0,997.66,2023-05-01 16:38,Yes
MF2305016189698,VEH_10,4,D_1204,2023-05-01 19:40,0,1240.11,2023-05-01 20:40,Yes
,VEH_10,5,O_179,2023-05-01 22:23,0,1403.11,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_16,1,O_179,2023-05-01 00:00,0,Null,Null,Null
MF2304286183315,VEH_16,2,D_1182,2023-05-01 00:24,575.61,660,2023-05-01 11:00,Yes
,VEH_16,3,O_179,2023-05-01 11:24,0,744.48,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_38,1,O_179,2023-05-01 00:00,0,Null,Null,Null
20230501B468067_001,VEH_38,2,D_109,2023-05-01 01:14,706.34,840,2023-05-01 14:00,Yes
MF2305096266772,VEH_38,3,D_1778,2023-05-01 15:20,159.88,1140,2023-05-01 19:00,Yes
,VEH_38,4,O_179,2023-05-01 19:18,0,1217.66,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_23,1,O_179,2023-05-01 00:00,0,Null,Null,Null
MF2305016188711,VEH_23,2,D_1197,2023-05-01 01:32,328.31,480,2023-05-01 08:00,Yes
,VEH_23,3,O_179,2023-05-01 09:31,0,631.19,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_48,1,O_179,2023-05-01 00:00,0,Null,Null,Null
20230501B468063_001,VEH_48,2,D_108,2023-05-01 01:28,691.84,840,2023-05-01 14:00,Yes
20230501B464859_001,VEH_48,3,D_1,2023-05-01 15:46,493.99,1500,2023-05-02 01:00,Yes
,VEH_48,4,O_179,2023-05-02 01:45,0,1604.92,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_25,1,O_179,2023-05-01 00:00,0,Null,Null,Null
20230501B467844_001,VEH_25,2,D_1,2023-05-01 00:48,0,108.16,2023-05-01 01:48,Yes
,VEH_25,3,O_179,2023-05-01 02:33,0,213.08,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_36,1,O_179,2023-05-01 00:00,0,Null,Null,Null
MF2305016189707,VEH_36,2,D_1208,2023-05-01 01:30,690.43,840,2023-05-01 14:00,Yes
MF2305016190961,VEH_36,3,D_1216,2023-05-01 16:46,74.01,1140,2023-05-01 19:00,Yes
,VEH_36,4,O_179,2023-05-01 21:28,0,1348.08,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_37,1,O_243,2023-05-01 00:00,0,Null,Null,Null
20230501B467718_001,VEH_37,2,D_109,2023-05-01 03:08,892.5,1140,2023-05-01 19:00,Yes
20230501B468098_001,VEH_37,3,D_109,2023-05-01 19:00,0,1200.0,2023-05-01 20:00,Yes
,VEH_37,4,O_243,2023-05-01 23:29,0,1469.37,Null,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
Null,VEH_48,1,O_243,2023-05-01 00:00,0,Null,Null,Null
20230501B468208_001,VEH_48,2,D_108,2023-05-01 01:31,988.94,1140,2023-05-01 19:00,Yes
20230501B468131_001,VEH_48,3,D_109,2023-05-01 21:11,0,1331.03,2023-05-01 22:11,Yes
20230501B467768_001,VEH_48,4,D_109,2023-05-01 22:11,0,1391.03,2023-05-01 23:11,Yes
