Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#6,3,start,0,48.45285677523525,48.45285677523525,0,0,0,0.0,200
#6,3,service,17,48.45285677523525,23.71898554031912,869.32,210.68,1140,210.68,516.01
#6,3,service,8,23.71898554031912,0.0,0,1240.47,1300.47,311.14,666.71
#6,3,finish,0,0.0,0.0,0,1537.28,1597.28,547.96,1021.94
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#7,3,start,0,45.0,45.0,0,0,0,0.0,200
#7,3,service,15,45.0,0.0,841.72,238.28,1140,238.28,557.43
#7,3,finish,0,0.0,0.0,0,1375.02,1435.02,473.31,909.96
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#8,0,start,0,26.66291878045225,26.66291878045225,0,0,0,0.0,80
#8,0,service,19,26.66291878045225,0.0,861.68,218.32,1140,218.32,254.66
#8,0,finish,0,0.0,0.0,0,1367.56,1427.56,445.88,436.71
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#9,2,start,0,39.05211647561815,39.05211647561815,0,0,0,0.0,150
#9,2,service,16,39.05211647561815,0.0,1056.12,23.88,1140,23.88,178.65
#9,2,finish,0,0.0,0.0,0,1163.38,1223.38,47.26,206.71
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#10,3,start,0,45.0,45.0,0,0,0,0.0,200
#10,3,service,5,45.0,0.0,786.58,293.42,1140,293.42,640.14
#10,3,finish,0,0.0,0.0,0,1418.65,1478.65,572.07,1058.11
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#11,4,start,0,53.97368003095256,53.97368003095256,0,0,0,0.0,250
#11,4,service,6,53.97368003095256,22.610073902231843,981.78,98.22,1140,98.22,426.79
#11,4,service,2,22.610073902231843,0.0,0,1283.31,1343.31,241.53,684.76
#11,4,finish,0,0.0,0.0,0,1537.99,1597.99,436.21,1035.18
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#12,1,start,0,31.95889412012285,31.95889412012285,0,0,0,0.0,110
#12,1,service,10,31.95889412012285,0.0,806.7,273.3,1140,273.3,383.3
#12,1,finish,0,0.0,0.0,0,1408.4,1468.4,541.69,651.69
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#13,0,start,0,26.06876479932324,26.06876479932324,0,0,0,0.0,80
#13,0,service,7,26.06876479932324,0.0,1019.12,60.88,1140,60.88,128.7
#13,0,finish,0,0.0,0.0,0,1204.78,1264.78,125.66,180.53
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#14,0,start,0,24.54114316284541,24.54114316284541,0,0,0,0.0,80
#14,0,service,22,24.54114316284541,12.886441095181146,842.29,237.71,1140,237.71,270.17
#14,0,service,26,12.886441095181146,0.0,0,1243.18,1303.18,340.88,352.71
#14,0,finish,0,0.0,0.0,0,1543.24,1603.24,580.95,544.76
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#15,3,start,0,45.0,45.0,0,0,0,0.0,200
#15,3,service,15,45.0,0.0,841.72,238.28,1140,238.28,557.43
#15,3,finish,0,0.0,0.0,0,1375.02,1435.02,473.31,909.96
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#16,2,start,0,39.05211647561815,39.05211647561815,0,0,0,0.0,150
#16,2,service,16,39.05211647561815,0.0,1056.12,23.88,1140,23.88,178.65
#16,2,finish,0,0.0,0.0,0,1163.38,1223.38,47.26,206.71
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#17,1,start,0,30.11036995940462,30.11036995940462,0,0,0,0.0,110
#17,1,service,4,30.11036995940462,0.0,774.96,305.04,1140,305.04,415.04
#17,1,finish,0,0.0,0.0,0,1422.84,1482.84,587.87,697.87
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#18,1,start,0,32.92416316712823,32.92416316712823,0,0,0,0.0,110
#18,1,service,14,32.92416316712823,0.0,995.57,84.43,1140,84.43,194.43
#18,1,finish,0,0.0,0.0,0,1226.24,1286.24,170.68,280.68
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#19,3,start,0,44.912108141899694,44.912108141899694,0,0,0,0.0,200
#19,3,service,1,44.912108141899694,24.2929379720196,874.61,205.39,1140,205.39,508.09
#19,3,service,12,24.2929379720196,0.0,0,1305.13,1365.13,370.52,755.78
#19,3,finish,0,0.0,0.0,0,1441.21,1501.21,446.6,869.9
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#20,1,start,0,30.81366103107667,30.81366103107667,0,0,0,0.0,110
#20,1,service,21,30.81366103107667,25.81366103107667,893.77,186.23,1140,186.23,296.23
#20,1,service,24,25.81366103107667,0.0,0,1323.73,1383.73,369.96,479.96
#20,1,finish,0,0.0,0.0,0,1401.41,1461.41,387.64,497.64
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#21,3,start,0,45.0,45.0,0,0,0,0.0,200
#21,3,service,15,45.0,0.0,841.72,238.28,1140,238.28,557.43
#21,3,finish,0,0.0,0.0,0,1375.02,1435.02,473.31,909.96
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,1676.68,,
TOTAL,,,,,,,,,8465.28,13274.96
