ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_610,1,O_326,2023-05-01 00:00,0,,,
MF2305126290595,VEH_610,2,D_1405,2023-05-01 01:37,0,60,2023-05-01 02:37,Yes
MF2305176319065,VEH_610,3,D_1593,2023-05-01 04:16,0,60,2023-05-01 05:16,Yes
,VEH_610,4,O_326,2023-05-01 05:17,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_598,1,O_326,2023-05-01 00:00,0,,,
MF2305176319077,VEH_598,2,D_1593,2023-05-01 00:00,0,60,2023-05-01 01:00,Yes
MF2305176319069,VEH_598,3,D_1593,2023-05-01 01:00,0,60,2023-05-01 02:00,Yes
,VEH_598,4,O_326,2023-05-01 02:00,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_563,1,O_326,2023-05-01 00:00,0,,,
MF2305126290575,VEH_563,2,D_2007,2023-05-01 01:28,0,60,2023-05-01 02:28,Yes
,VEH_563,3,O_326,2023-05-01 03:47,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_594,1,O_326,2023-05-01 00:00,0,,,
MF2305126290587,VEH_594,2,D_1597,2023-05-01 00:44,0,60,2023-05-01 01:44,Yes
MF2305316392523,VEH_594,3,D_2866,2023-05-01 02:56,0,60,2023-05-01 03:56,Yes
,VEH_594,4,O_326,2023-05-01 05:34,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_587,1,O_326,2023-05-01 00:00,0,,,
MF2305176319073,VEH_587,2,D_1593,2023-05-01 00:00,0,60,2023-05-01 01:00,Yes
,VEH_587,3,O_326,2023-05-01 01:00,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_661,1,O_352,2023-05-01 00:00,0,,,
MF2305036205380,VEH_661,2,D_1442,2023-05-01 02:29,0,60,2023-05-01 03:29,Yes
MF2305036206350,VEH_661,3,D_1472,2023-05-01 04:00,0,60,2023-05-01 05:00,Yes
,VEH_661,4,O_352,2023-05-01 07:22,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_680,1,O_376,2023-05-01 00:00,0,,,
MF2305186334071,VEH_680,2,D_2233,2023-05-01 02:26,0,60,2023-05-01 03:26,Yes
,VEH_680,3,O_376,2023-05-01 06:01,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_762,1,O_448,2023-05-01 00:00,0,,,
MF2305036201428,VEH_762,2,D_1405,2023-05-01 02:57,0,60,2023-05-01 03:57,Yes
MF2305266367789,VEH_762,3,D_2648,2023-05-01 08:13,946.86,60,2023-05-02 01:00,Yes
,VEH_762,4,O_448,2023-05-02 03:10,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1005,1,O_673,2023-05-01 00:00,0,,,
M18385639,VEH_1005,2,D_364,2023-05-01 02:06,0,60,2023-05-01 03:06,Yes
MF2305026196238,VEH_1005,3,D_1279,2023-05-01 04:53,0,60,2023-05-01 05:53,Yes
,VEH_1005,4,O_673,2023-05-01 06:56,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
